Cod_Div,Municipio,Humedad
41548,PITAL,81.4875
41551,PITALITO,91.37
41615,RIVERA,73.7175
41660,SALADOBLANCO,90.595
41668,SAN AGUSTÍN,93.33500000000001
44001,RIOHACHA,71.655
44035,ALBANIA,79.29375
44078,BARRANCAS,83.48875000000001
44090,DIBULLA,83.75750000000001
44098,DISTRACCIÓN,84.05625
44110,EL MOLINO,85.90625
44279,FONSECA,84.325
44378,HATONUEVO,80.11875
44420,LA JAGUA DEL PILAR,86.88125
44430,MAICAO,72.48625
44560,MANAURE,66.58250000000001
47030,ALGARROBO,83.33500000000001
47053,ARACATACA,82.94500000000001
47058,ARIGUANÍ,84.35875
47161,CERRO DE SAN ANTONIO,83.82625
47170,CHIVOLO,84.24
47189,CIÉNAGA,81.39375
47205,CONCORDIA,83.64125
47245,EL BANCO,88.73375
47258,EL PIÑÓN,83.36625000000001
47268,EL RETÉN,81.30625
47288,FUNDACIÓN,82.99125000000001
47318,GUAMAL,89.6275
47460,NUEVA GRANADA,85.1625
47541,PEDRAZA,84.55875
47545,PIJIÑO DEL CARMEN,88.08125
47551,PIVIJAY,83.065
47555,PLATO,86.615
47570,PUEBLOVIEJO,80.73625
47605,REMOLINO,84.06375
47660,SABANAS DE SAN ÁNGEL,82.6775
47675,SALAMINA,82.9275
50006,ACACÍAS,90.07875
50110,BARRANCA DE UPÍA,90.17
50124,CABUYARO,87.92
50150,CASTILLA LA NUEVA,88.685
50223,CUBARRAL,90.11875
50226,CUMARAL,90.8725
50245,EL CALVARIO,93.97375
50251,EL CASTILLO,90.44500000000001
50270,EL DORADO,89.8025
50287,FUENTEDEORO,90.9075
50313,GRANADA,90.27125
50318,GUAMAL,89.06
50325,MAPIRIPÁN,88.58500000000001
50330,MESETAS,92.99875
50350,LA MACARENA,91.75750000000001
50400,LEJANÍAS,92.82625
50450,PUERTO CONCORDIA,91.92125
50568,PUERTO GAITÁN,84.23375
50573,PUERTO LÓPEZ,89.18125
50577,PUERTO LLERAS,91.11625000000001
50590,PUERTO RICO,92.57124999999999
50606,RESTREPO,91.575
52001,PASTO,89.58250000000001
52019,ALBÁN,87.1725
52022,ALDANA,91.84625
52036,ANCUYÁ,87.56375
52051,ARBOLEDA,84.88
52079,BARBACOAS,90.45
52083,BELÉN,86.55375000000001
52110,BUESACO,87.62625
52203,COLÓN,85.52000000000001
52207,CONSACÁ,87.76625
52210,CONTADERO,91.04625
52215,CÓRDOBA,92.5875
52224,CUASPÚD,92.19375
52227,CUMBAL,91.54249999999999
52233,CUMBITARA,91.05625
52240,CHACHAGÜI,85.67625000000001
52250,EL CHARCO,89.78999999999999
